prePaidFee,initialCapital,daysUntilPaid,nonFeelessPaid
25,800000000000000000,1287,1074560000000000000
25,800000000000000000,1008,1015280000000000000
25,800000000000000000,3541,1556600000000000000
25,800000000000000000,2040,1235240000000000000
25,800000000000000000,816,973940000000000000
25,800000000000000000,3106,1463000000000000000
250,800000000000000000,3461,1368800000000000000
250,800000000000000000,2123,1148600000000000000
25,800000000000000000,3403,1526960000000000000
25,800000000000000000,3110,1464560000000000000
25,800000000000000000,2750,1387340000000000000
25,800000000000000000,2846,1407620000000000000
25,800000000000000000,573,921680000000000000
25,800000000000000000,273,857720000000000000
25,800000000000000000,2556,1346000000000000000
25,800000000000000000,3432,1533200000000000000
250,800000000000000000,3277,1338200000000000000
25,800000000000000000,2618,1359260000000000000
250,800000000000000000,2982,1289600000000000000
25,800000000000000000,285,860840000000000000
25,800000000000000000,767,963800000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,421,889700000000000000
250,800000000000000000,2890,1274600000000000000
25,800000000000000000,453,896720000000000000
250,800000000000000000,2479,1207400000000000000
25,800000000000000000,2270,1284380000000000000
250,800000000000000000,1871,1107200000000000000
25,800000000000000000,598,927140000000000000
25,800000000000000000,643,937280000000000000
25,800000000000000000,3276,1499660000000000000
25,800000000000000000,1130,1041020000000000000
25,800000000000000000,1855,1196240000000000000
25,800000000000000000,709,951320000000000000
25,800000000000000000,2595,1353800000000000000
25,800000000000000000,1043,1022300000000000000
25,800000000000000000,825,976280000000000000
25,800000000000000000,2226,1275020000000000000
250,800000000000000000,3046,1300400000000000000
25,800000000000000000,1773,1178300000000000000
25,800000000000000000,399,885020000000000000
25,800000000000000000,596,927140000000000000
250,800000000000000000,3064,1303400000000000000
25,800000000000000000,3343,1513700000000000000
25,800000000000000000,1099,1034780000000000000
25,800000000000000000,2858,1410740000000000000
25,800000000000000000,2364,1304660000000000000
25,800000000000000000,659,940400000000000000
25,800000000000000000,2924,1424780000000000000
25,800000000000000000,353,874880000000000000
25,800000000000000000,2714,1379540000000000000
250,800000000000000000,2213,1163600000000000000
250,800000000000000000,2812,1262000000000000000
250,800000000000000000,2104,1145600000000000000
25,800000000000000000,529,912320000000000000
25,800000000000000000,2036,1234460000000000000
25,800000000000000000,293,862400000000000000
25,800000000000000000,3650,1580000000000000000
250,800000000000000000,2769,1254800000000000000
250,800000000000000000,3541,1382000000000000000
25,800000000000000000,2159,1260980000000000000
25,800000000000000000,2975,1435700000000000000
25,800000000000000000,2026,1232900000000000000
250,800000000000000000,1878,1108400000000000000
25,800000000000000000,2835,1405280000000000000
250,800000000000000000,2407,1195400000000000000
25,800000000000000000,436,892820000000000000
25,800000000000000000,399,885020000000000000
25,800000000000000000,383,881120000000000000
25,800000000000000000,1493,1119020000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,1453,1110440000000000000
250,800000000000000000,2941,1283000000000000000
25,800000000000000000,2609,1356920000000000000
25,800000000000000000,2132,1255520000000000000
250,800000000000000000,2975,1289000000000000000
25,800000000000000000,3174,1477820000000000000
25,800000000000000000,3449,1536320000000000000
25,800000000000000000,2807,1399820000000000000
25,800000000000000000,3155,1473920000000000000
25,800000000000000000,2668,1369400000000000000
250,800000000000000000,2636,1233200000000000000
25,800000000000000000,2633,1362380000000000000
25,800000000000000000,3342,1513700000000000000
25,800000000000000000,1382,1094840000000000000
25,800000000000000000,2775,1392800000000000000
250,800000000000000000,3440,1365200000000000000
250,800000000000000000,2049,1136600000000000000
25,800000000000000000,353,874880000000000000
25,800000000000000000,3572,1562840000000000000
250,800000000000000000,3324,1346000000000000000
250,800000000000000000,2605,1227800000000000000
25,800000000000000000,688,946640000000000000
25,800000000000000000,3626,1574540000000000000
25,800000000000000000,2715,1379540000000000000
250,800000000000000000,2105,1145600000000000000
25,800000000000000000,2279,1286720000000000000
25,800000000000000000,3126,1467680000000000000
25,800000000000000000,2956,1431020000000000000
250,800000000000000000,2716,1246400000000000000
25,800000000000000000,2137,1256300000000000000
25,800000000000000000,1075,1029320000000000000
25,800000000000000000,3633,1576100000000000000
25,800000000000000000,2624,1360040000000000000
25,800000000000000000,1970,1220420000000000000
25,800000000000000000,2190,1268000000000000000
25,800000000000000000,303,864740000000000000
25,800000000000000000,3063,1454420000000000000
25,800000000000000000,2241,1278140000000000000
250,800000000000000000,1934,1117400000000000000
25,800000000000000000,1272,1071440000000000000
25,800000000000000000,1370,1092500000000000000
25,800000000000000000,3105,1463000000000000000
25,800000000000000000,3649,1579220000000000000
250,800000000000000000,2793,1259000000000000000
250,800000000000000000,2848,1268000000000000000
25,800000000000000000,1925,1211060000000000000
25,800000000000000000,2218,1273460000000000000
25,800000000000000000,969,1006700000000000000
25,800000000000000000,1125,1040240000000000000
25,800000000000000000,1886,1202480000000000000
25,800000000000000000,2591,1353020000000000000
250,800000000000000000,1912,1113800000000000000
250,800000000000000000,2035,1134200000000000000
250,800000000000000000,2426,1198400000000000000
25,800000000000000000,3433,1533200000000000000
25,800000000000000000,1588,1139300000000000000
25,800000000000000000,680,945080000000000000
25,800000000000000000,3325,1509800000000000000
250,800000000000000000,1920,1115600000000000000
25,800000000000000000,844,980180000000000000
250,800000000000000000,3435,1364600000000000000
25,800000000000000000,902,992660000000000000
25,800000000000000000,263,856160000000000000
25,800000000000000000,1038,1021520000000000000
25,800000000000000000,1315,1080800000000000000
250,800000000000000000,2769,1254800000000000000
25,800000000000000000,3647,1579220000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,534,913880000000000000
250,800000000000000000,3075,1305200000000000000
25,800000000000000000,3479,1543340000000000000
25,800000000000000000,3463,1539440000000000000
25,800000000000000000,2334,1298420000000000000
25,800000000000000000,1706,1164260000000000000
250,800000000000000000,2779,1256600000000000000
25,800000000000000000,1255,1067540000000000000
250,800000000000000000,2577,1223600000000000000
25,800000000000000000,982,1009820000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,710,951320000000000000
25,800000000000000000,188,839780000000000000
25,800000000000000000,2873,1413860000000000000
250,800000000000000000,3148,1317200000000000000
25,800000000000000000,485,902960000000000000
25,800000000000000000,1103,1035560000000000000
25,800000000000000000,1340,1086260000000000000
250,800000000000000000,2171,1156400000000000000
25,800000000000000000,901,991880000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,2993,1439600000000000000
25,800000000000000000,657,940400000000000000
25,800000000000000000,2587,1352240000000000000
25,800000000000000000,1636,1149440000000000000
250,800000000000000000,2089,1143200000000000000
250,800000000000000000,2837,1266200000000000000
25,800000000000000000,1555,1132280000000000000
25,800000000000000000,2955,1431020000000000000
250,800000000000000000,2806,1260800000000000000
25,800000000000000000,2714,1379540000000000000
25,800000000000000000,1245,1065980000000000000
250,800000000000000000,3033,1298000000000000000
25,800000000000000000,566,920900000000000000
250,800000000000000000,2515,1213400000000000000
25,800000000000000000,1790,1182200000000000000
250,800000000000000000,2538,1217000000000000000
25,800000000000000000,2827,1403720000000000000
250,800000000000000000,2383,1191200000000000000
25,800000000000000000,819,974720000000000000
25,800000000000000000,893,990320000000000000
25,800000000000000000,321,867860000000000000
25,800000000000000000,511,909200000000000000
250,800000000000000000,3283,1339400000000000000
25,800000000000000000,2054,1238360000000000000
25,800000000000000000,829,977060000000000000
25,800000000000000000,1781,1179860000000000000
25,800000000000000000,1249,1066760000000000000
25,800000000000000000,1285,1074560000000000000
250,800000000000000000,2610,1229000000000000000
25,800000000000000000,3595,1567520000000000000
250,800000000000000000,1899,1112000000000000000
250,800000000000000000,2031,1133600000000000000
250,800000000000000000,2965,1287200000000000000
25,800000000000000000,847,980960000000000000
25,800000000000000000,3220,1487960000000000000
25,800000000000000000,3435,1533980000000000000
25,800000000000000000,945,1001240000000000000
25,800000000000000000,783,966920000000000000
25,800000000000000000,2913,1422440000000000000
25,800000000000000000,1971,1221200000000000000
250,800000000000000000,2178,1157600000000000000
25,800000000000000000,380,881120000000000000
250,800000000000000000,2811,1262000000000000000
25,800000000000000000,3527,1553480000000000000
25,800000000000000000,3327,1510580000000000000
25,800000000000000000,1410,1101080000000000000
250,800000000000000000,3086,1307000000000000000
25,800000000000000000,1800,1184540000000000000
250,800000000000000000,3558,1384400000000000000
25,800000000000000000,1049,1023860000000000000
250,800000000000000000,3578,1388000000000000000
25,800000000000000000,570,921680000000000000
25,800000000000000000,372,878780000000000000
25,800000000000000000,696,948200000000000000
25,800000000000000000,533,913880000000000000
25,800000000000000000,1082,1030880000000000000
25,800000000000000000,2250,1280480000000000000
250,800000000000000000,1842,1102400000000000000
25,800000000000000000,865,984080000000000000
25,800000000000000000,1730,1168940000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,2142,1257080000000000000
25,800000000000000000,428,891260000000000000
250,800000000000000000,3060,1302800000000000000
25,800000000000000000,1945,1214960000000000000
25,800000000000000000,2031,1233680000000000000
25,800000000000000000,3275,1499660000000000000
250,800000000000000000,2757,1253000000000000000
250,800000000000000000,3224,1329800000000000000
25,800000000000000000,601,927920000000000000
25,800000000000000000,742,958340000000000000
250,800000000000000000,2671,1238600000000000000
25,800000000000000000,2059,1239920000000000000
25,800000000000000000,3483,1544120000000000000
25,800000000000000000,691,947420000000000000
250,800000000000000000,2004,1129400000000000000
25,800000000000000000,2027,1232900000000000000
25,800000000000000000,1386,1095620000000000000
25,800000000000000000,351,874880000000000000
25,800000000000000000,2548,1344440000000000000
250,800000000000000000,2449,1202000000000000000
25,800000000000000000,334,870980000000000000
25,800000000000000000,3618,1572980000000000000
250,800000000000000000,2249,1169600000000000000
25,800000000000000000,1731,1169720000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,2351,1302320000000000000
25,800000000000000000,3623,1573760000000000000
25,800000000000000000,2818,1402160000000000000
25,800000000000000000,1201,1056620000000000000
250,800000000000000000,1937,1118000000000000000
250,800000000000000000,2749,1251800000000000000
25,800000000000000000,2959,1431800000000000000
25,800000000000000000,1095,1034000000000000000
250,800000000000000000,2385,1191800000000000000
25,800000000000000000,731,956000000000000000
250,800000000000000000,3204,1326200000000000000
25,800000000000000000,2069,1241480000000000000
25,800000000000000000,3587,1565960000000000000
250,800000000000000000,2882,1273400000000000000
250,800000000000000000,3257,1335200000000000000
25,800000000000000000,699,948980000000000000
250,800000000000000000,3023,1296800000000000000
25,800000000000000000,1695,1161920000000000000
25,800000000000000000,1321,1081580000000000000
250,800000000000000000,3647,1399400000000000000
25,800000000000000000,596,927140000000000000
25,800000000000000000,3371,1519940000000000000
25,800000000000000000,1144,1044140000000000000
25,800000000000000000,2279,1286720000000000000
25,800000000000000000,1882,1201700000000000000
250,800000000000000000,3494,1374200000000000000
250,800000000000000000,3110,1311200000000000000
25,800000000000000000,3052,1452080000000000000
25,800000000000000000,2710,1378760000000000000
25,800000000000000000,1061,1026200000000000000
25,800000000000000000,2281,1286720000000000000
250,800000000000000000,2156,1154000000000000000
25,800000000000000000,406,886580000000000000
25,800000000000000000,1106,1036340000000000000
250,800000000000000000,2758,1253000000000000000
25,800000000000000000,738,957560000000000000
25,800000000000000000,2740,1385000000000000000
250,800000000000000000,2989,1290800000000000000
250,800000000000000000,2784,1257200000000000000
250,800000000000000000,3650,1400000000000000000
250,800000000000000000,2693,1242200000000000000
25,800000000000000000,1727,1168940000000000000
250,800000000000000000,3186,1323200000000000000
25,800000000000000000,2767,1391240000000000000
25,800000000000000000,1918,1209500000000000000
250,800000000000000000,3649,1399400000000000000
25,800000000000000000,1981,1222760000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,2610,1357700000000000000
25,800000000000000000,3002,1441160000000000000
25,800000000000000000,1650,1152560000000000000
25,800000000000000000,3121,1466900000000000000
25,800000000000000000,216,846020000000000000
250,800000000000000000,3249,1334000000000000000
25,800000000000000000,2337,1299200000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,2888,1416980000000000000
25,800000000000000000,1947,1215740000000000000
250,800000000000000000,3105,1310000000000000000
250,800000000000000000,3131,1314200000000000000
25,800000000000000000,903,992660000000000000
25,800000000000000000,1010,1015280000000000000
25,800000000000000000,1139,1043360000000000000
25,800000000000000000,3408,1527740000000000000
25,800000000000000000,1385,1095620000000000000
25,800000000000000000,3414,1529300000000000000
25,800000000000000000,1925,1211060000000000000
250,800000000000000000,3292,1340600000000000000
250,800000000000000000,3392,1357400000000000000
25,800000000000000000,1057,1025420000000000000
25,800000000000000000,602,927920000000000000
25,800000000000000000,920,996560000000000000
250,800000000000000000,2739,1250000000000000000
250,800000000000000000,3243,1332800000000000000
25,800000000000000000,397,884240000000000000
25,800000000000000000,3316,1508240000000000000
25,800000000000000000,2245,1279700000000000000
25,800000000000000000,373,879560000000000000
25,800000000000000000,1028,1019180000000000000
25,800000000000000000,497,906080000000000000
250,800000000000000000,3602,1391600000000000000
25,800000000000000000,1594,1140080000000000000
25,800000000000000000,3307,1506680000000000000
25,800000000000000000,3034,1448180000000000000
25,800000000000000000,2881,1415420000000000000
25,800000000000000000,1055,1025420000000000000
25,800000000000000000,2279,1286720000000000000
250,800000000000000000,3117,1311800000000000000
25,800000000000000000,1273,1071440000000000000
25,800000000000000000,668,942740000000000000
25,800000000000000000,648,938060000000000000
25,800000000000000000,2570,1349120000000000000
25,800000000000000000,2441,1321040000000000000
25,800000000000000000,2980,1436480000000000000
25,800000000000000000,3460,1538660000000000000
25,800000000000000000,740,957560000000000000
25,800000000000000000,1931,1212620000000000000
250,800000000000000000,2587,1224800000000000000
25,800000000000000000,2867,1412300000000000000
250,800000000000000000,2073,1140200000000000000
250,800000000000000000,3050,1301000000000000000
250,800000000000000000,2983,1290200000000000000
25,800000000000000000,330,870200000000000000
25,800000000000000000,754,960680000000000000
250,800000000000000000,2879,1272800000000000000
25,800000000000000000,715,952100000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,1784,1180640000000000000
25,800000000000000000,1106,1036340000000000000
25,800000000000000000,3305,1505900000000000000
25,800000000000000000,737,956780000000000000
25,800000000000000000,1014,1016060000000000000
25,800000000000000000,2848,1408400000000000000
25,800000000000000000,1351,1088600000000000000
25,800000000000000000,3579,1564400000000000000
250,800000000000000000,3598,1391000000000000000
250,800000000000000000,2080,1141400000000000000
25,800000000000000000,3601,1569080000000000000
250,800000000000000000,1985,1125800000000000000
25,800000000000000000,3376,1520720000000000000
25,800000000000000000,2810,1399820000000000000
250,800000000000000000,2888,1274600000000000000
250,800000000000000000,3611,1393400000000000000
250,800000000000000000,3602,1391600000000000000
250,800000000000000000,2331,1182800000000000000
250,800000000000000000,3008,1294400000000000000
25,800000000000000000,2577,1350680000000000000
25,800000000000000000,3081,1458320000000000000
250,800000000000000000,3511,1376600000000000000
25,800000000000000000,837,978620000000000000
25,800000000000000000,198,842120000000000000
25,800000000000000000,3497,1547240000000000000
25,800000000000000000,1563,1133840000000000000
25,800000000000000000,276,858500000000000000
25,800000000000000000,2702,1377200000000000000
250,800000000000000000,2521,1214000000000000000
25,800000000000000000,1721,1167380000000000000
250,800000000000000000,3202,1326200000000000000
25,800000000000000000,949,1002800000000000000
25,800000000000000000,3443,1535540000000000000
250,800000000000000000,3512,1377200000000000000
25,800000000000000000,355,875660000000000000
25,800000000000000000,2930,1425560000000000000
250,800000000000000000,3078,1305800000000000000
250,800000000000000000,2885,1274000000000000000
25,800000000000000000,963,1005140000000000000
25,800000000000000000,3312,1507460000000000000
25,800000000000000000,3647,1579220000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,2564,1347560000000000000
25,800000000000000000,447,895160000000000000
250,800000000000000000,3200,1325600000000000000
25,800000000000000000,2409,1314800000000000000
25,800000000000000000,304,864740000000000000
25,800000000000000000,3351,1516040000000000000
25,800000000000000000,3151,1473140000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,3648,1579220000000000000
250,800000000000000000,2918,1279400000000000000
25,800000000000000000,2091,1246160000000000000
25,800000000000000000,1717,1166600000000000000
250,800000000000000000,2636,1233200000000000000
25,800000000000000000,786,967700000000000000
25,800000000000000000,370,878780000000000000
25,800000000000000000,1904,1206380000000000000
250,800000000000000000,2005,1129400000000000000
25,800000000000000000,2455,1324160000000000000
250,800000000000000000,2036,1134200000000000000
250,800000000000000000,2594,1226000000000000000
25,800000000000000000,2040,1235240000000000000
250,800000000000000000,2546,1218200000000000000
25,800000000000000000,2466,1326500000000000000
25,800000000000000000,2300,1291400000000000000
250,800000000000000000,2349,1185800000000000000
25,800000000000000000,1958,1218080000000000000
250,800000000000000000,2516,1213400000000000000
25,800000000000000000,1123,1039460000000000000
25,800000000000000000,2331,1297640000000000000
25,800000000000000000,3416,1529300000000000000
25,800000000000000000,846,980180000000000000
250,800000000000000000,3118,1312400000000000000
250,800000000000000000,3370,1353800000000000000
25,800000000000000000,1941,1214180000000000000
25,800000000000000000,3277,1499660000000000000
25,800000000000000000,203,842900000000000000
25,800000000000000000,2636,1363160000000000000
25,800000000000000000,2069,1241480000000000000
250,800000000000000000,2827,1264400000000000000
25,800000000000000000,1511,1122140000000000000
250,800000000000000000,2518,1213400000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,2346,1300760000000000000
25,800000000000000000,3296,1504340000000000000
250,800000000000000000,2325,1181600000000000000
250,800000000000000000,2216,1164200000000000000
25,800000000000000000,1690,1161140000000000000
25,800000000000000000,3167,1476260000000000000
25,800000000000000000,3375,1520720000000000000
250,800000000000000000,1827,1100000000000000000
25,800000000000000000,3252,1494200000000000000
25,800000000000000000,3105,1463000000000000000
25,800000000000000000,1383,1094840000000000000
25,800000000000000000,2625,1360820000000000000
250,800000000000000000,3128,1313600000000000000
25,800000000000000000,2106,1249280000000000000
25,800000000000000000,3169,1477040000000000000
25,800000000000000000,2774,1392800000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,1065,1026980000000000000
250,800000000000000000,2766,1254200000000000000
25,800000000000000000,2958,1431800000000000000
25,800000000000000000,3306,1505900000000000000
25,800000000000000000,3258,1495760000000000000
25,800000000000000000,1845,1193900000000000000
25,800000000000000000,206,843680000000000000
25,800000000000000000,2049,1237580000000000000
25,800000000000000000,521,910760000000000000
250,800000000000000000,1870,1107200000000000000
25,800000000000000000,1538,1128380000000000000
25,800000000000000000,2380,1308560000000000000
25,800000000000000000,3254,1494980000000000000
25,800000000000000000,3428,1532420000000000000
25,800000000000000000,483,902960000000000000
25,800000000000000000,230,849140000000000000
250,800000000000000000,3289,1340600000000000000
250,800000000000000000,1907,1113200000000000000
25,800000000000000000,2788,1395140000000000000
25,800000000000000000,2445,1321820000000000000
250,800000000000000000,3556,1384400000000000000
25,800000000000000000,3627,1574540000000000000
25,800000000000000000,1148,1044920000000000000
25,800000000000000000,694,948200000000000000
25,800000000000000000,901,991880000000000000
250,800000000000000000,3357,1351400000000000000
25,800000000000000000,2083,1244600000000000000
25,800000000000000000,1713,1165820000000000000
25,800000000000000000,717,952880000000000000
250,800000000000000000,3578,1388000000000000000
25,800000000000000000,1933,1212620000000000000
250,800000000000000000,2708,1244600000000000000
250,800000000000000000,3212,1328000000000000000
25,800000000000000000,247,852260000000000000
250,800000000000000000,2294,1176800000000000000
25,800000000000000000,785,967700000000000000
25,800000000000000000,1132,1041800000000000000
250,800000000000000000,3020,1296200000000000000
25,800000000000000000,1265,1069880000000000000
25,800000000000000000,2462,1325720000000000000
25,800000000000000000,621,932600000000000000
250,800000000000000000,3021,1296200000000000000
250,800000000000000000,2656,1236200000000000000
25,800000000000000000,1871,1199360000000000000
25,800000000000000000,3449,1536320000000000000
25,800000000000000000,3179,1478600000000000000
25,800000000000000000,1429,1104980000000000000
25,800000000000000000,632,934940000000000000
25,800000000000000000,710,951320000000000000
25,800000000000000000,1895,1204820000000000000
250,800000000000000000,1943,1119200000000000000
25,800000000000000000,3142,1470800000000000000
25,800000000000000000,3345,1514480000000000000
25,800000000000000000,3251,1494200000000000000
25,800000000000000000,725,954440000000000000
25,800000000000000000,2079,1243820000000000000
25,800000000000000000,3357,1516820000000000000
25,800000000000000000,3649,1579220000000000000
250,800000000000000000,3627,1395800000000000000
250,800000000000000000,2581,1224200000000000000
250,800000000000000000,2384,1191800000000000000
25,800000000000000000,1968,1220420000000000000
250,800000000000000000,3416,1361000000000000000
250,800000000000000000,2384,1191800000000000000
25,800000000000000000,3136,1470020000000000000
250,800000000000000000,1885,1109600000000000000
25,800000000000000000,778,966140000000000000
250,800000000000000000,2421,1197800000000000000
25,800000000000000000,1098,1034000000000000000
25,800000000000000000,3540,1555820000000000000
25,800000000000000000,3072,1455980000000000000
25,800000000000000000,2670,1370180000000000000
25,800000000000000000,3216,1487180000000000000
250,800000000000000000,2280,1174400000000000000
250,800000000000000000,2941,1283000000000000000
25,800000000000000000,932,998900000000000000
250,800000000000000000,2205,1162400000000000000
250,800000000000000000,2051,1136600000000000000
25,800000000000000000,2969,1434140000000000000
250,800000000000000000,3506,1376000000000000000
250,800000000000000000,2547,1218200000000000000
25,800000000000000000,3552,1558940000000000000
25,800000000000000000,2320,1295300000000000000
25,800000000000000000,362,877220000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,643,937280000000000000
25,800000000000000000,3572,1562840000000000000
25,800000000000000000,1522,1124480000000000000
25,800000000000000000,3310,1506680000000000000
25,800000000000000000,2341,1299980000000000000
25,800000000000000000,2452,1323380000000000000
25,800000000000000000,2588,1353020000000000000
25,800000000000000000,2231,1276580000000000000
25,800000000000000000,368,878000000000000000
25,800000000000000000,1663,1154900000000000000
