prePaidFee,initialCapital,daysUntilPaid,nonFeelessPaid
25,800000000000000000,3648,1579220000000000000
250,800000000000000000,2743,1250600000000000000
25,800000000000000000,3104,1463000000000000000
25,800000000000000000,505,907640000000000000
25,800000000000000000,3524,1552700000000000000
25,800000000000000000,2290,1289060000000000000
250,800000000000000000,3477,1371200000000000000
25,800000000000000000,3469,1541000000000000000
25,800000000000000000,2278,1286720000000000000
250,800000000000000000,3330,1347200000000000000
25,800000000000000000,2199,1269560000000000000
25,800000000000000000,3184,1480160000000000000
25,800000000000000000,2223,1275020000000000000
25,800000000000000000,1827,1190000000000000000
25,800000000000000000,860,983300000000000000
25,800000000000000000,3222,1487960000000000000
25,800000000000000000,703,949760000000000000
25,800000000000000000,1891,1204040000000000000
250,800000000000000000,3138,1315400000000000000
250,800000000000000000,2344,1185200000000000000
25,800000000000000000,217,846020000000000000
25,800000000000000000,2800,1398260000000000000
25,800000000000000000,3532,1554260000000000000
25,800000000000000000,377,880340000000000000
25,800000000000000000,227,848360000000000000
25,800000000000000000,301,863960000000000000
25,800000000000000000,1867,1198580000000000000
25,800000000000000000,2241,1278140000000000000
25,800000000000000000,1032,1019960000000000000
25,800000000000000000,2869,1413080000000000000
25,800000000000000000,1125,1040240000000000000
250,800000000000000000,2986,1290800000000000000
25,800000000000000000,1977,1221980000000000000
250,800000000000000000,3507,1376000000000000000
25,800000000000000000,1148,1044920000000000000
25,800000000000000000,1834,1191560000000000000
25,800000000000000000,2763,1389680000000000000
25,800000000000000000,3085,1459100000000000000
25,800000000000000000,636,935720000000000000
250,800000000000000000,1871,1107200000000000000
25,800000000000000000,1505,1121360000000000000
25,800000000000000000,3318,1509020000000000000
25,800000000000000000,2000,1226660000000000000
25,800000000000000000,2147,1258640000000000000
250,800000000000000000,3058,1302200000000000000
25,800000000000000000,937,999680000000000000
250,800000000000000000,2000,1128200000000000000
25,800000000000000000,356,875660000000000000
25,800000000000000000,399,885020000000000000
250,800000000000000000,2874,1272200000000000000
250,800000000000000000,3490,1373600000000000000
25,800000000000000000,3357,1516820000000000000
25,800000000000000000,595,927140000000000000
250,800000000000000000,2643,1234400000000000000
250,800000000000000000,1829,1100600000000000000
250,800000000000000000,3625,1395800000000000000
25,800000000000000000,2934,1426340000000000000
25,800000000000000000,1747,1172840000000000000
250,800000000000000000,3293,1341200000000000000
25,800000000000000000,2421,1317140000000000000
25,800000000000000000,3122,1466900000000000000
25,800000000000000000,212,845240000000000000
25,800000000000000000,1673,1157240000000000000
25,800000000000000000,1796,1183760000000000000
25,800000000000000000,3649,1579220000000000000
250,800000000000000000,1865,1106000000000000000
250,800000000000000000,2693,1242200000000000000
25,800000000000000000,1531,1126820000000000000
250,800000000000000000,3135,1314800000000000000
25,800000000000000000,1088,1032440000000000000
25,800000000000000000,1068,1027760000000000000
25,800000000000000000,820,974720000000000000
25,800000000000000000,561,919340000000000000
250,800000000000000000,3649,1399400000000000000
25,800000000000000000,3075,1456760000000000000
25,800000000000000000,567,920900000000000000
250,800000000000000000,1841,1102400000000000000
25,800000000000000000,3584,1565180000000000000
25,800000000000000000,3580,1564400000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,493,905300000000000000
250,800000000000000000,3131,1314200000000000000
25,800000000000000000,890,989540000000000000
25,800000000000000000,3234,1491080000000000000
25,800000000000000000,2028,1232900000000000000
25,800000000000000000,209,844460000000000000
25,800000000000000000,3338,1512920000000000000
25,800000000000000000,1729,1168940000000000000
25,800000000000000000,3176,1478600000000000000
25,800000000000000000,601,927920000000000000
250,800000000000000000,1843,1102400000000000000
25,800000000000000000,1296,1076900000000000000
25,800000000000000000,1015,1016840000000000000
25,800000000000000000,2296,1290620000000000000
25,800000000000000000,238,850700000000000000
25,800000000000000000,2683,1373300000000000000
25,800000000000000000,2396,1311680000000000000
25,800000000000000000,970,1006700000000000000
25,800000000000000000,2633,1362380000000000000
25,800000000000000000,1326,1083140000000000000
25,800000000000000000,2336,1299200000000000000
25,800000000000000000,1485,1116680000000000000
250,800000000000000000,3195,1325000000000000000
25,800000000000000000,840,979400000000000000
25,800000000000000000,2970,1434140000000000000
25,800000000000000000,3213,1486400000000000000
25,800000000000000000,947,1002020000000000000
25,800000000000000000,3085,1459100000000000000
25,800000000000000000,1401,1098740000000000000
250,800000000000000000,2382,1191200000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,961,1005140000000000000
250,800000000000000000,3152,1317800000000000000
250,800000000000000000,3331,1347200000000000000
25,800000000000000000,3628,1574540000000000000
25,800000000000000000,1311,1080020000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,3139,1470800000000000000
25,800000000000000000,983,1009820000000000000
25,800000000000000000,879,987200000000000000
25,800000000000000000,3619,1572980000000000000
25,800000000000000000,2219,1273460000000000000
25,800000000000000000,1018,1016840000000000000
250,800000000000000000,3431,1364000000000000000
250,800000000000000000,2323,1181600000000000000
25,800000000000000000,583,924020000000000000
25,800000000000000000,2290,1289060000000000000
250,800000000000000000,2712,1245800000000000000
250,800000000000000000,2292,1176200000000000000
25,800000000000000000,893,990320000000000000
25,800000000000000000,2919,1423220000000000000
25,800000000000000000,2342,1299980000000000000
25,800000000000000000,610,930260000000000000
25,800000000000000000,1156,1046480000000000000
250,800000000000000000,3648,1399400000000000000
250,800000000000000000,1848,1103600000000000000
25,800000000000000000,2967,1433360000000000000
250,800000000000000000,2263,1172000000000000000
25,800000000000000000,1176,1051160000000000000
25,800000000000000000,2578,1350680000000000000
250,800000000000000000,1829,1100600000000000000
250,800000000000000000,2031,1133600000000000000
25,800000000000000000,594,926360000000000000
250,800000000000000000,2189,1159400000000000000
25,800000000000000000,2665,1369400000000000000
25,800000000000000000,1965,1219640000000000000
25,800000000000000000,2480,1329620000000000000
250,800000000000000000,3051,1301000000000000000
25,800000000000000000,1697,1161920000000000000
25,800000000000000000,1120,1038680000000000000
25,800000000000000000,229,848360000000000000
25,800000000000000000,2516,1337420000000000000
25,800000000000000000,2582,1351460000000000000
250,800000000000000000,2609,1228400000000000000
25,800000000000000000,1357,1089380000000000000
25,800000000000000000,1609,1143200000000000000
25,800000000000000000,1835,1191560000000000000
25,800000000000000000,3334,1512140000000000000
25,800000000000000000,3086,1459100000000000000
25,800000000000000000,2225,1275020000000000000
25,800000000000000000,580,923240000000000000
250,800000000000000000,3110,1311200000000000000
25,800000000000000000,1711,1165040000000000000
25,800000000000000000,2037,1235240000000000000
250,800000000000000000,3240,1332200000000000000
250,800000000000000000,2877,1272800000000000000
25,800000000000000000,2923,1424000000000000000
25,800000000000000000,297,863180000000000000
25,800000000000000000,1198,1055840000000000000
25,800000000000000000,1433,1105760000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,2549,1344440000000000000
25,800000000000000000,1235,1063640000000000000
25,800000000000000000,2500,1333520000000000000
25,800000000000000000,1016,1016840000000000000
25,800000000000000000,3467,1540220000000000000
250,800000000000000000,3543,1382000000000000000
250,800000000000000000,1988,1126400000000000000
250,800000000000000000,2128,1149800000000000000
25,800000000000000000,3066,1455200000000000000
25,800000000000000000,232,849140000000000000
250,800000000000000000,2264,1172000000000000000
25,800000000000000000,1573,1135400000000000000
25,800000000000000000,2966,1433360000000000000
25,800000000000000000,2228,1275800000000000000
25,800000000000000000,3203,1484060000000000000
25,800000000000000000,952,1002800000000000000
25,800000000000000000,2175,1264100000000000000
25,800000000000000000,3531,1554260000000000000
250,800000000000000000,2704,1244000000000000000
250,800000000000000000,3449,1366400000000000000
25,800000000000000000,189,839780000000000000
250,800000000000000000,2883,1273400000000000000
25,800000000000000000,3472,1541780000000000000
250,800000000000000000,1975,1124600000000000000
250,800000000000000000,2714,1245800000000000000
25,800000000000000000,2913,1422440000000000000
25,800000000000000000,402,885800000000000000
25,800000000000000000,2869,1413080000000000000
250,800000000000000000,2467,1205000000000000000
250,800000000000000000,3297,1341800000000000000
25,800000000000000000,1818,1188440000000000000
250,800000000000000000,2028,1133000000000000000
250,800000000000000000,3104,1310000000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,925,997340000000000000
25,800000000000000000,2507,1335080000000000000
250,800000000000000000,3142,1316000000000000000
250,800000000000000000,3612,1393400000000000000
25,800000000000000000,1755,1174400000000000000
25,800000000000000000,362,877220000000000000
25,800000000000000000,3331,1511360000000000000
25,800000000000000000,562,919340000000000000
25,800000000000000000,2664,1368620000000000000
25,800000000000000000,3077,1457540000000000000
25,800000000000000000,465,899060000000000000
25,800000000000000000,269,856940000000000000
25,800000000000000000,1397,1097960000000000000
25,800000000000000000,885,988760000000000000
25,800000000000000000,3016,1444280000000000000
25,800000000000000000,1800,1184540000000000000
25,800000000000000000,2063,1240700000000000000
25,800000000000000000,456,896720000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,311,866300000000000000
250,800000000000000000,3275,1338200000000000000
25,800000000000000000,3405,1526960000000000000
25,800000000000000000,2693,1374860000000000000
250,800000000000000000,3518,1377800000000000000
25,800000000000000000,2153,1259420000000000000
250,800000000000000000,1860,1105400000000000000
25,800000000000000000,580,923240000000000000
25,800000000000000000,3419,1530080000000000000
250,800000000000000000,2370,1189400000000000000
25,800000000000000000,798,970040000000000000
250,800000000000000000,2576,1223000000000000000
25,800000000000000000,325,869420000000000000
250,800000000000000000,2518,1213400000000000000
250,800000000000000000,2090,1143200000000000000
25,800000000000000000,1835,1191560000000000000
25,800000000000000000,2556,1346000000000000000
250,800000000000000000,2129,1149800000000000000
25,800000000000000000,3573,1562840000000000000
250,800000000000000000,2545,1218200000000000000
250,800000000000000000,3635,1397000000000000000
25,800000000000000000,3298,1504340000000000000
25,800000000000000000,1175,1050380000000000000
25,800000000000000000,2578,1350680000000000000
25,800000000000000000,2789,1395920000000000000
250,800000000000000000,1845,1103000000000000000
25,800000000000000000,932,998900000000000000
25,800000000000000000,1297,1076900000000000000
25,800000000000000000,2384,1309340000000000000
25,800000000000000000,2425,1317920000000000000
25,800000000000000000,835,977840000000000000
25,800000000000000000,1046,1023080000000000000
25,800000000000000000,2618,1359260000000000000
250,800000000000000000,2502,1211000000000000000
25,800000000000000000,286,860840000000000000
25,800000000000000000,1857,1196240000000000000
25,800000000000000000,359,876440000000000000
25,800000000000000000,386,881900000000000000
25,800000000000000000,649,938060000000000000
25,800000000000000000,982,1009820000000000000
25,800000000000000000,3337,1512920000000000000
25,800000000000000000,1646,1151000000000000000
25,800000000000000000,951,1002800000000000000
25,800000000000000000,463,898280000000000000
25,800000000000000000,2930,1425560000000000000
25,800000000000000000,1775,1179080000000000000
25,800000000000000000,1083,1030880000000000000
25,800000000000000000,1848,1194680000000000000
25,800000000000000000,1685,1159580000000000000
25,800000000000000000,2194,1268780000000000000
250,800000000000000000,2079,1141400000000000000
25,800000000000000000,1797,1183760000000000000
250,800000000000000000,2420,1197800000000000000
25,800000000000000000,2681,1372520000000000000
25,800000000000000000,725,954440000000000000
25,800000000000000000,587,924800000000000000
25,800000000000000000,1536,1127600000000000000
25,800000000000000000,3628,1574540000000000000
25,800000000000000000,415,888140000000000000
25,800000000000000000,251,853040000000000000
25,800000000000000000,317,867080000000000000
250,800000000000000000,1855,1104800000000000000
25,800000000000000000,2499,1333520000000000000
25,800000000000000000,3549,1558160000000000000
25,800000000000000000,738,957560000000000000
25,800000000000000000,1032,1019960000000000000
25,800000000000000000,2358,1303880000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,2312,1293740000000000000
25,800000000000000000,554,917780000000000000
25,800000000000000000,1577,1136960000000000000
250,800000000000000000,2345,1185200000000000000
25,800000000000000000,1184,1052720000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,2029,1232900000000000000
250,800000000000000000,2392,1193000000000000000
250,800000000000000000,2535,1216400000000000000
25,800000000000000000,2674,1370960000000000000
25,800000000000000000,2952,1430240000000000000
25,800000000000000000,1757,1175180000000000000
25,800000000000000000,3026,1446620000000000000
250,800000000000000000,2468,1205600000000000000
25,800000000000000000,1588,1139300000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,919,995780000000000000
25,800000000000000000,1267,1070660000000000000
250,800000000000000000,1950,1120400000000000000
250,800000000000000000,1960,1121600000000000000
25,800000000000000000,1754,1174400000000000000
250,800000000000000000,2213,1163600000000000000
25,800000000000000000,3509,1549580000000000000
25,800000000000000000,2063,1240700000000000000
25,800000000000000000,1975,1221980000000000000
25,800000000000000000,1412,1101080000000000000
250,800000000000000000,3096,1308800000000000000
250,800000000000000000,2977,1289000000000000000
25,800000000000000000,1201,1056620000000000000
25,800000000000000000,3371,1519940000000000000
250,800000000000000000,2135,1150400000000000000
25,800000000000000000,1430,1104980000000000000
25,800000000000000000,360,876440000000000000
250,800000000000000000,2938,1282400000000000000
25,800000000000000000,3647,1579220000000000000
250,800000000000000000,2229,1166000000000000000
25,800000000000000000,1943,1214960000000000000
25,800000000000000000,590,925580000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,2791,1395920000000000000
25,800000000000000000,1384,1095620000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,3251,1494200000000000000
25,800000000000000000,2986,1438040000000000000
250,800000000000000000,3494,1374200000000000000
250,800000000000000000,2680,1240400000000000000
250,800000000000000000,3570,1386800000000000000
250,800000000000000000,3264,1336400000000000000
25,800000000000000000,734,956780000000000000
25,800000000000000000,3434,1533200000000000000
25,800000000000000000,3084,1458320000000000000
25,800000000000000000,586,924800000000000000
25,800000000000000000,536,913880000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,1630,1147880000000000000
25,800000000000000000,1085,1031660000000000000
25,800000000000000000,290,861620000000000000
25,800000000000000000,610,930260000000000000
250,800000000000000000,1842,1102400000000000000
25,800000000000000000,2523,1338980000000000000
25,800000000000000000,2506,1335080000000000000
25,800000000000000000,805,971600000000000000
25,800000000000000000,834,977840000000000000
25,800000000000000000,2689,1374080000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,1115,1037900000000000000
25,800000000000000000,830,977060000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,3258,1495760000000000000
25,800000000000000000,3144,1471580000000000000
25,800000000000000000,1877,1200920000000000000
250,800000000000000000,3598,1391000000000000000
250,800000000000000000,3510,1376600000000000000
25,800000000000000000,1914,1208720000000000000
250,800000000000000000,2130,1149800000000000000
25,800000000000000000,1785,1181420000000000000
25,800000000000000000,3469,1541000000000000000
250,800000000000000000,2833,1265600000000000000
25,800000000000000000,1072,1028540000000000000
250,800000000000000000,2384,1191800000000000000
25,800000000000000000,1541,1129160000000000000
25,800000000000000000,499,906080000000000000
250,800000000000000000,2948,1284200000000000000
250,800000000000000000,3272,1337600000000000000
250,800000000000000000,3648,1399400000000000000
25,800000000000000000,604,928700000000000000
25,800000000000000000,1867,1198580000000000000
250,800000000000000000,2680,1240400000000000000
25,800000000000000000,828,976280000000000000
250,800000000000000000,2650,1235600000000000000
25,800000000000000000,333,870980000000000000
25,800000000000000000,2945,1428680000000000000
25,800000000000000000,1982,1223540000000000000
25,800000000000000000,1595,1140080000000000000
25,800000000000000000,1675,1157240000000000000
250,800000000000000000,3406,1359800000000000000
25,800000000000000000,469,899840000000000000
250,800000000000000000,2077,1141400000000000000
250,800000000000000000,3465,1369400000000000000
25,800000000000000000,2680,1372520000000000000
250,800000000000000000,2987,1290800000000000000
25,800000000000000000,2696,1375640000000000000
250,800000000000000000,2773,1255400000000000000
25,800000000000000000,2424,1317920000000000000
250,800000000000000000,3039,1299200000000000000
250,800000000000000000,2244,1168400000000000000
25,800000000000000000,3367,1519160000000000000
250,800000000000000000,2546,1218200000000000000
25,800000000000000000,3591,1566740000000000000
25,800000000000000000,428,891260000000000000
25,800000000000000000,840,979400000000000000
25,800000000000000000,3054,1452080000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,2590,1353020000000000000
25,800000000000000000,1353,1088600000000000000
250,800000000000000000,3384,1356200000000000000
25,800000000000000000,2809,1399820000000000000
25,800000000000000000,1799,1183760000000000000
25,800000000000000000,1557,1132280000000000000
25,800000000000000000,3479,1543340000000000000
250,800000000000000000,2712,1245800000000000000
25,800000000000000000,1866,1198580000000000000
25,800000000000000000,2942,1428680000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,2598,1354580000000000000
250,800000000000000000,2198,1161200000000000000
25,800000000000000000,2208,1271120000000000000
25,800000000000000000,2519,1338200000000000000
25,800000000000000000,1797,1183760000000000000
25,800000000000000000,3146,1471580000000000000
25,800000000000000000,1336,1085480000000000000
250,800000000000000000,2847,1268000000000000000
250,800000000000000000,2955,1285400000000000000
25,800000000000000000,2150,1259420000000000000
250,800000000000000000,2804,1260800000000000000
25,800000000000000000,997,1012940000000000000
25,800000000000000000,3586,1565960000000000000
25,800000000000000000,1035,1020740000000000000
250,800000000000000000,3169,1320800000000000000
25,800000000000000000,3146,1471580000000000000
25,800000000000000000,486,903740000000000000
25,800000000000000000,412,887360000000000000
25,800000000000000000,678,944300000000000000
25,800000000000000000,2532,1340540000000000000
25,800000000000000000,3506,1548800000000000000
250,800000000000000000,2576,1223000000000000000
250,800000000000000000,2403,1194800000000000000
25,800000000000000000,3441,1534760000000000000
25,800000000000000000,1600,1141640000000000000
25,800000000000000000,868,984860000000000000
25,800000000000000000,3578,1564400000000000000
25,800000000000000000,374,879560000000000000
25,800000000000000000,3350,1515260000000000000
250,800000000000000000,2186,1158800000000000000
25,800000000000000000,3070,1455980000000000000
25,800000000000000000,2319,1295300000000000000
25,800000000000000000,3615,1572200000000000000
250,800000000000000000,3627,1395800000000000000
25,800000000000000000,3055,1452080000000000000
25,800000000000000000,2793,1396700000000000000
25,800000000000000000,1879,1200920000000000000
25,800000000000000000,445,894380000000000000
25,800000000000000000,3631,1575320000000000000
250,800000000000000000,3649,1399400000000000000
25,800000000000000000,1260,1069100000000000000
25,800000000000000000,690,947420000000000000
25,800000000000000000,829,977060000000000000
25,800000000000000000,1704,1163480000000000000
25,800000000000000000,969,1006700000000000000
25,800000000000000000,1178,1051160000000000000
25,800000000000000000,248,852260000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,3255,1494980000000000000
25,800000000000000000,3526,1553480000000000000
25,800000000000000000,2279,1286720000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,2019,1231340000000000000
25,800000000000000000,212,845240000000000000
25,800000000000000000,2807,1399820000000000000
25,800000000000000000,3111,1464560000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,887,989540000000000000
25,800000000000000000,612,930260000000000000
250,800000000000000000,2269,1172600000000000000
25,800000000000000000,1389,1096400000000000000
25,800000000000000000,2410,1314800000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,826,976280000000000000
250,800000000000000000,2290,1176200000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,3561,1560500000000000000
25,800000000000000000,1285,1074560000000000000
25,800000000000000000,1961,1218860000000000000
250,800000000000000000,2505,1211600000000000000
25,800000000000000000,3390,1523840000000000000
250,800000000000000000,3650,1400000000000000000
25,800000000000000000,2467,1326500000000000000
250,800000000000000000,2964,1287200000000000000
25,800000000000000000,3650,1580000000000000000
25,800000000000000000,1165,1048820000000000000
250,800000000000000000,1999,1128200000000000000
25,800000000000000000,1641,1150220000000000000
250,800000000000000000,3591,1389800000000000000
25,800000000000000000,332,870200000000000000
25,800000000000000000,2650,1366280000000000000
25,800000000000000000,1349,1087820000000000000
250,800000000000000000,3532,1380200000000000000
25,800000000000000000,455,896720000000000000
25,800000000000000000,908,993440000000000000
25,800000000000000000,1389,1096400000000000000
25,800000000000000000,3126,1467680000000000000
25,800000000000000000,750,959900000000000000
25,800000000000000000,465,899060000000000000
250,800000000000000000,2426,1198400000000000000
25,800000000000000000,1690,1161140000000000000
25,800000000000000000,1791,1182200000000000000
25,800000000000000000,811,973160000000000000
25,800000000000000000,1039,1021520000000000000
25,800000000000000000,1467,1112780000000000000
25,800000000000000000,2616,1358480000000000000
250,800000000000000000,1858,1105400000000000000
25,800000000000000000,1199,1055840000000000000
250,800000000000000000,2961,1286600000000000000
25,800000000000000000,2623,1360040000000000000
25,800000000000000000,3639,1576880000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,526,912320000000000000
25,800000000000000000,1958,1218080000000000000
25,800000000000000000,2974,1434920000000000000
250,800000000000000000,3476,1371200000000000000
250,800000000000000000,1903,1112600000000000000
25,800000000000000000,204,842900000000000000
25,800000000000000000,1416,1101860000000000000
250,800000000000000000,2548,1218800000000000000
25,800000000000000000,2587,1352240000000000000
25,800000000000000000,1575,1136180000000000000
250,800000000000000000,3091,1307600000000000000
25,800000000000000000,468,899840000000000000
25,800000000000000000,1281,1073000000000000000
250,800000000000000000,2555,1220000000000000000
250,800000000000000000,3649,1399400000000000000
25,800000000000000000,390,882680000000000000
25,800000000000000000,397,884240000000000000
25,800000000000000000,3313,1507460000000000000
250,800000000000000000,2232,1166600000000000000
25,800000000000000000,3576,1563620000000000000
250,800000000000000000,2428,1199000000000000000
25,800000000000000000,1114,1037900000000000000
25,800000000000000000,1620,1145540000000000000
250,800000000000000000,2955,1285400000000000000
25,800000000000000000,2370,1306220000000000000
25,800000000000000000,3167,1476260000000000000
25,800000000000000000,3243,1492640000000000000
25,800000000000000000,362,877220000000000000
25,800000000000000000,1575,1136180000000000000
25,800000000000000000,1799,1183760000000000000
250,800000000000000000,3015,1295600000000000000
25,800000000000000000,2507,1335080000000000000
25,800000000000000000,811,973160000000000000
250,800000000000000000,3483,1372400000000000000
250,800000000000000000,1849,1103600000000000000
250,800000000000000000,2798,1259600000000000000
25,800000000000000000,2490,1331960000000000000
25,800000000000000000,1677,1158020000000000000
25,800000000000000000,2280,1286720000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,2667,1369400000000000000
25,800000000000000000,280,859280000000000000
25,800000000000000000,1759,1175180000000000000
25,800000000000000000,923,996560000000000000
25,800000000000000000,2570,1349120000000000000
25,800000000000000000,3010,1442720000000000000
250,800000000000000000,2560,1220600000000000000
25,800000000000000000,232,849140000000000000
25,800000000000000000,2095,1246940000000000000
250,800000000000000000,2984,1290200000000000000
25,800000000000000000,1257,1068320000000000000
25,800000000000000000,1617,1145540000000000000
25,800000000000000000,1268,1070660000000000000
250,800000000000000000,3185,1323200000000000000
25,800000000000000000,3649,1579220000000000000
250,800000000000000000,2974,1288400000000000000
250,800000000000000000,3442,1365800000000000000
25,800000000000000000,978,1008260000000000000
250,800000000000000000,1923,1115600000000000000
25,800000000000000000,788,967700000000000000
25,800000000000000000,1029,1019180000000000000
25,800000000000000000,1534,1127600000000000000
250,800000000000000000,2911,1278200000000000000
250,800000000000000000,2645,1234400000000000000
250,800000000000000000,3580,1388000000000000000
250,800000000000000000,2032,1133600000000000000
25,800000000000000000,231,849140000000000000
25,800000000000000000,3087,1459100000000000000
25,800000000000000000,490,904520000000000000
250,800000000000000000,2616,1229600000000000000
25,800000000000000000,741,958340000000000000
250,800000000000000000,2269,1172600000000000000
25,800000000000000000,3648,1579220000000000000
25,800000000000000000,3396,1525400000000000000
250,800000000000000000,3579,1388000000000000000
25,800000000000000000,600,927920000000000000
250,800000000000000000,2214,1163600000000000000
25,800000000000000000,659,940400000000000000
25,800000000000000000,2594,1353800000000000000
25,800000000000000000,1820,1188440000000000000
25,800000000000000000,2056,1239140000000000000
25,800000000000000000,2490,1331960000000000000
25,800000000000000000,2357,1303100000000000000
25,800000000000000000,3044,1449740000000000000
25,800000000000000000,2642,1363940000000000000
25,800000000000000000,1542,1129160000000000000
25,800000000000000000,573,921680000000000000
25,800000000000000000,1370,1092500000000000000
25,800000000000000000,3385,1523060000000000000
25,800000000000000000,1943,1214960000000000000
25,800000000000000000,2545,1343660000000000000
25,800000000000000000,1869,1199360000000000000
25,800000000000000000,2744,1385780000000000000
25,800000000000000000,3076,1456760000000000000
25,800000000000000000,2780,1393580000000000000
25,800000000000000000,2018,1230560000000000000
25,800000000000000000,1183,1052720000000000000
25,800000000000000000,2012,1229780000000000000
250,800000000000000000,3621,1395200000000000000
250,800000000000000000,2122,1148600000000000000
25,800000000000000000,2674,1370960000000000000
25,800000000000000000,798,970040000000000000
25,800000000000000000,776,965360000000000000
250,800000000000000000,2497,1210400000000000000
250,800000000000000000,3414,1361000000000000000
250,800000000000000000,3044,1299800000000000000
25,800000000000000000,3089,1459880000000000000
250,800000000000000000,3437,1364600000000000000
250,800000000000000000,2750,1251800000000000000
250,800000000000000000,3217,1328600000000000000
250,800000000000000000,1888,1110200000000000000
25,800000000000000000,3650,1580000000000000000
250,800000000000000000,2310,1179200000000000000
25,800000000000000000,3649,1579220000000000000
25,800000000000000000,1367,1091720000000000000
250,800000000000000000,1910,1113800000000000000
25,800000000000000000,3492,1545680000000000000
25,800000000000000000,1198,1055840000000000000
25,800000000000000000,1748,1172840000000000000
250,800000000000000000,2772,1255400000000000000
25,800000000000000000,1006,1014500000000000000
25,800000000000000000,3235,1491080000000000000
25,800000000000000000,2272,1285160000000000000
25,800000000000000000,3463,1539440000000000000
25,800000000000000000,1273,1071440000000000000
250,800000000000000000,2568,1221800000000000000
25,800000000000000000,187,839780000000000000
25,800000000000000000,2597,1354580000000000000
250,800000000000000000,3650,1400000000000000000
250,800000000000000000,2045,1136000000000000000
25,800000000000000000,2379,1307780000000000000
25,800000000000000000,437,892820000000000000
250,800000000000000000,2049,1136600000000000000
250,800000000000000000,2248,1169000000000000000
25,800000000000000000,1161,1048040000000000000
25,800000000000000000,630,934160000000000000
25,800000000000000000,495,905300000000000000
25,800000000000000000,2866,1412300000000000000
25,800000000000000000,3033,1447400000000000000
25,800000000000000000,1830,1190780000000000000
25,800000000000000000,2118,1252400000000000000
25,800000000000000000,1436,1106540000000000000
25,800000000000000000,2081,1244600000000000000
25,800000000000000000,2740,1385000000000000000
25,800000000000000000,3511,1549580000000000000
250,800000000000000000,2870,1271600000000000000
25,800000000000000000,2297,1290620000000000000
25,800000000000000000,495,905300000000000000
250,800000000000000000,2845,1267400000000000000
250,800000000000000000,1993,1127600000000000000
25,800000000000000000,910,994220000000000000
25,800000000000000000,807,972380000000000000
25,800000000000000000,1491,1118240000000000000
25,800000000000000000,1877,1200920000000000000
25,800000000000000000,241,851480000000000000
250,800000000000000000,1935,1118000000000000000
25,800000000000000000,575,922460000000000000
25,800000000000000000,1965,1219640000000000000
250,800000000000000000,2519,1214000000000000000
25,800000000000000000,3650,1580000000000000000
250,800000000000000000,1868,1106600000000000000
25,800000000000000000,3502,1548020000000000000
25,800000000000000000,3647,1579220000000000000
25,800000000000000000,1070,1028540000000000000
25,800000000000000000,713,952100000000000000
25,800000000000000000,2416,1315580000000000000
25,800000000000000000,654,939620000000000000
25,800000000000000000,2095,1246940000000000000
250,800000000000000000,2856,1269200000000000000
25,800000000000000000,439,893600000000000000
25,800000000000000000,2084,1244600000000000000
25,800000000000000000,1322,1082360000000000000
250,800000000000000000,2473,1206200000000000000
25,800000000000000000,2227,1275800000000000000
25,800000000000000000,1823,1189220000000000000
25,800000000000000000,3408,1527740000000000000
25,800000000000000000,205,843680000000000000
25,800000000000000000,1307,1079240000000000000
250,800000000000000000,2142,1151600000000000000
25,800000000000000000,3477,1542560000000000000
25,800000000000000000,3003,1441160000000000000
25,800000000000000000,814,973940000000000000
25,800000000000000000,650,938840000000000000
25,800000000000000000,3098,1461440000000000000
250,800000000000000000,3115,1311800000000000000
25,800000000000000000,2129,1254740000000000000
250,800000000000000000,2578,1223600000000000000
25,800000000000000000,810,972380000000000000
250,800000000000000000,3539,1381400000000000000
25,800000000000000000,980,1009040000000000000
25,800000000000000000,3102,1462220000000000000
250,800000000000000000,3460,1368200000000000000
